VulnerabilityID,PkgName,InstalledVersion,FixedVersion,Title,Description,Severity,References
CVE-2019-9924,bash,4.3-14ubuntu1.2,4.3-14ubuntu1.4,bash: BASH_CMD is writable in restricted bash shells,"rbash in Bash before 4.4-beta2 did not prevent the shell user from modifying BASH_CMDS, thus allowing the user to execute any command with the permissions of the shell.",HIGH,"['https://lists.debian.org/debian-lts-announce/2019/03/msg00028.html', 'https://security.netapp.com/advisory/ntap-20190411-0001/', 'https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-9924', 'http://git.savannah.gnu.org/cgit/bash.git/tree/CHANGES?h=bash-4.4-testing#n65', 'http://lists.opensuse.org/opensuse-security-announce/2019-04/msg00049.html', 'https://bugs.launchpad.net/ubuntu/+source/bash/+bug/1803441']"
CVE-2016-2779,bsdutils,2.27.1-6ubuntu3.6,,util-linux: runuser tty hijack via TIOCSTI ioctl,"runuser in util-linux allows local users to escape to the parent session via a crafted TIOCSTI ioctl call, which pushes characters to the terminal's input buffer.",HIGH,"['http://www.openwall.com/lists/oss-security/2016/02/27/1', 'http://www.openwall.com/lists/oss-security/2016/02/27/2', 'https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=815922', 'https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2016-2779']"
CVE-2016-5011,bsdutils,2.27.1-6ubuntu3.6,,util-linux: Extended partition loop in MBR partition table leads to DOS,The parse_dos_extended function in partitions/dos.c in the libblkid library in util-linux allows physically proximate attackers to cause a denial of service (memory consumption) via a crafted MSDOS partition table with an extended partition boot record at zero offset.,MEDIUM,"['https://git.kernel.org/pub/scm/utils/util-linux/util-linux.git/commit/?id=7164a1c3', 'https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2016-5011', 'http://rhn.redhat.com/errata/RHSA-2016-2605.html', 'http://www-01.ibm.com/support/docview.wss?uid=isg3T1024543', 'http://www-01.ibm.com/support/docview.wss?uid=nas8N1021801', 'http://www.openwall.com/lists/oss-security/2016/07/11/2', 'http://www.securityfocus.com/bid/91683', 'http://www.securitytracker.com/id/1036272']"
CVE-2016-2781,coreutils,8.25-2ubuntu3~16.04,,coreutils: Non-privileged session can escape to the parent session in chroot,"chroot in GNU coreutils, when used with --userspec, allows local users to escape to the parent session via a crafted TIOCSTI ioctl call, which pushes characters to the terminal's input buffer.",LOW,"['http://www.openwall.com/lists/oss-security/2016/02/28/2', 'http://www.openwall.com/lists/oss-security/2016/02/28/3']"
CVE-2017-8283,dpkg,1.18.4ubuntu1.5,,,"dpkg-source in dpkg 1.3.0 through 1.18.23 is able to use a non-GNU patch program and does not offer a protection mechanism for blank-indented diff hunks, which allows remote attackers to conduct directory traversal attacks via a crafted Debian source package, as demonstrated by use of dpkg-source on NetBSD.",HIGH,"['http://www.securityfocus.com/bid/98064', 'https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2017-8283', 'http://www.openwall.com/lists/oss-security/2017/04/20/2']"
CVE-2019-13050,gnupg,1.4.20-1ubuntu3.3,,GnuPG: interaction between the sks-keyserver code and GnuPG allows for a Certificate Spamming Attack which leads to persistent DoS,"Interaction between the sks-keyserver code through 1.2.0 of the SKS keyserver network, and GnuPG through 2.2.16, makes it risky to have a GnuPG keyserver configuration line referring to a host on the SKS keyserver network. Retrieving data from this network may cause a persistent denial of service, because of a Certificate Spamming Attack.",MEDIUM,"['https://twitter.com/lambdafu/status/1147162583969009664', '\nhttps://gist.github.com/rjhansen/67ab921ffb4084c865b3618d6955275f\nhttps://access.redhat.com/articles/4264021\n    ', 'https://gist.github.com/rjhansen/67ab921ffb4084c865b3618d6955275f', 'https://lists.gnupg.org/pipermail/gnupg-announce/2019q3/000439.html']"
CVE-2019-13050,gpgv,1.4.20-1ubuntu3.3,,GnuPG: interaction between the sks-keyserver code and GnuPG allows for a Certificate Spamming Attack which leads to persistent DoS,"Interaction between the sks-keyserver code through 1.2.0 of the SKS keyserver network, and GnuPG through 2.2.16, makes it risky to have a GnuPG keyserver configuration line referring to a host on the SKS keyserver network. Retrieving data from this network may cause a persistent denial of service, because of a Certificate Spamming Attack.",MEDIUM,"['\nhttps://gist.github.com/rjhansen/67ab921ffb4084c865b3618d6955275f\nhttps://access.redhat.com/articles/4264021\n    ', 'https://gist.github.com/rjhansen/67ab921ffb4084c865b3618d6955275f', 'https://lists.gnupg.org/pipermail/gnupg-announce/2019q3/000439.html', 'https://twitter.com/lambdafu/status/1147162583969009664']"
CVE-2016-1585,libapparmor1,2.10.95-0ubuntu2.10,,,In all versions of AppArmor mount rules are accidentally widened when compiled.,HIGH,['https://bugs.launchpad.net/apparmor/+bug/1597017']
CVE-2016-2779,libblkid1,2.27.1-6ubuntu3.6,,util-linux: runuser tty hijack via TIOCSTI ioctl,"runuser in util-linux allows local users to escape to the parent session via a crafted TIOCSTI ioctl call, which pushes characters to the terminal's input buffer.",HIGH,"['https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2016-2779', 'http://www.openwall.com/lists/oss-security/2016/02/27/1', 'http://www.openwall.com/lists/oss-security/2016/02/27/2', 'https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=815922']"
CVE-2016-5011,libblkid1,2.27.1-6ubuntu3.6,,util-linux: Extended partition loop in MBR partition table leads to DOS,The parse_dos_extended function in partitions/dos.c in the libblkid library in util-linux allows physically proximate attackers to cause a denial of service (memory consumption) via a crafted MSDOS partition table with an extended partition boot record at zero offset.,MEDIUM,"['http://rhn.redhat.com/errata/RHSA-2016-2605.html', 'http://www-01.ibm.com/support/docview.wss?uid=isg3T1024543', 'http://www-01.ibm.com/support/docview.wss?uid=nas8N1021801', 'http://www.openwall.com/lists/oss-security/2016/07/11/2', 'http://www.securityfocus.com/bid/91683', 'http://www.securitytracker.com/id/1036272', 'https://git.kernel.org/pub/scm/utils/util-linux/util-linux.git/commit/?id=7164a1c3', 'https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2016-5011']"
CVE-2019-12900,libbz2-1.0,1.0.6-8,1.0.6-8ubuntu0.2,bzip2: out-of-bounds write in function BZ2_decompress,BZ2_decompress in decompress.c in bzip2 through 1.0.6 has an out-of-bounds write when there are many selectors.,HIGH,"['https://gitlab.com/federicomenaquintero/bzip2/commit/74de1e2e6ffc9d51ef9824db71a8ffee5962cdbc', 'https://lists.debian.org/debian-lts-announce/2019/06/msg00021.html', 'https://usn.ubuntu.com/4038-1/', 'https://usn.ubuntu.com/4038-2/', 'https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-12900']"
CVE-2016-3189,libbz2-1.0,1.0.6-8,1.0.6-8ubuntu0.1,bzip2: heap use after free in bzip2recover,"Use-after-free vulnerability in bzip2recover in bzip2 1.0.6 allows remote attackers to cause a denial of service (crash) via a crafted bzip2 file, related to block ends set to before the start of the block.",MEDIUM,"['https://bugzilla.redhat.com/show_bug.cgi?id=1319648', 'https://security.gentoo.org/glsa/201708-08', 'https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2016-3189', 'http://www.openwall.com/lists/oss-security/2016/06/20/1', 'http://www.oracle.com/technetwork/topics/security/bulletinjul2016-3090568.html', 'http://www.securityfocus.com/bid/91297', 'http://www.securitytracker.com/id/1036132']"
CVE-2018-6485,libc-bin,2.23-0ubuntu11,,glibc: Integer overflow in posix_memalign in memalign functions,"An integer overflow in the implementation of the posix_memalign in memalign functions in the GNU C Library (aka glibc or libc6) 2.26 and earlier could cause these functions to return a pointer to a heap area that is too small, potentially leading to heap corruption.",HIGH,"['https://access.redhat.com/errata/RHSA-2018:3092', 'https://security.netapp.com/advisory/ntap-20190404-0003/', 'https://sourceware.org/bugzilla/show_bug.cgi?id=22343', 'https://www.oracle.com/technetwork/security-advisory/cpuapr2019-5072813.html', 'https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2018-6485', 'http://bugs.debian.org/878159', 'http://www.securityfocus.com/bid/102912', 'https://access.redhat.com/errata/RHBA-2019:0327']"
CVE-2017-18269,libc-bin,2.23-0ubuntu11,,glibc: memory corruption in memcpy-sse2-unaligned.S,"An SSE2-optimized memmove implementation for i386 in sysdeps/i386/i686/multiarch/memcpy-sse2-unaligned.S in the GNU C Library (aka glibc or libc6) 2.21 through 2.27 does not correctly perform the overlapping memory check if the source memory range spans the middle of the address space, resulting in corrupt data being produced by the copy operation. This may disclose information to context-dependent attackers, or result in a denial of service, or, possibly, code execution.",HIGH,"['https://security.netapp.com/advisory/ntap-20190401-0001/', 'https://sourceware.org/bugzilla/show_bug.cgi?id=22644', 'https://sourceware.org/git/gitweb.cgi?p=glibc.git;h=cd66c0e584c6d692bc8347b5e72723d02b8a8ada', 'https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2017-18269', 'https://github.com/fingolfin/memmove-bug', 'https://security.netapp.com/advisory/ntap-20190329-0001/']"
